MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"PH193/01","Risk Management Programme","Custom","Aotearoa Fisheries Limited","","9429035056447","Registered","2021-07-12","","Ministry for Primary Industries - Verification Services","No","","","","","Wharf Road, Waitangi","Chatham Islands","Chatham Islands Council","1","Chatham Islands Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Paua","Filleting, Gutting, Heading, Live, Live;Tailing;Whole, Shucking, Washing, Whole","Packing/repacking, Refrigeration, Transport",""
"PH206/01","Risk Management Programme","Custom","Silver Fern Farms Limited","","9429041428900","Registered","2018-11-23","","Ministry for Primary Industries - Verification Services","No","","","","","Seaview Road","Hokitika","Westland District Council","1","Westland District Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bobby calves, Cattle, Deer Co-products, Deer Velvet, Farmed Deer, Foetal Blood, Foetal tissue, Green offal, Hides & Skins, Offal, Red meat","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Collection, Industrial Use, Packing/repacking, Processing, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"PH21/01","Risk Management Programme","Custom","Silver Fern Farms Limited","","9429041428900","Registered","2020-07-23","","Ministry for Primary Industries - Verification Services","No","","","","","49 District Road, Kennington","Invercargill","Invercargill City Council","1","Invercargill City Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Farmed Deer, Foetal tissue, Hides & Skins, Red meat","Dressing, Slaughter","Boning/cutting, Collection, Industrial Use, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"PH220/01","Risk Management Programme","Custom","UB BIO Limited","","9429039534378","Registered","2021-06-21","","Ministry for Primary Industries - Verification Services","No","","","","","4 March Place, Belfast","Christchurch","Christchurch City Council","1","Christchurch City Council","PH220","N/A","Animal Consumption, Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Casein, Caseinate, Colostrum products, Dairy products, Deer Velvet, Fermented milk products, Fish, Foetal tissue, Lactose, Milk powders, Milk proteins, Nutritional powders excl IF & FOF, Poultry, Propolis, Red meat, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Drying/reduction of water activity;Formulation;Pharmaceutical/biological processing;Size reduction;Supplement manufacture;Thermal processing other than in-container retorting/UHT, Blending/mixing;Drying/reduction of water activity;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity, Drying/reduction of water activity;Packing/repacking;Supplement manufacture;Thermal processing other than in-container retorting/UHT;Transport, Encapsulation/tabletting, Extraction, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Transport, Packing/repacking, Pharmaceutical/biological processing, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Supplement manufacture, Thermal processing other than in-container retorting/UHT, Transport",""
"PH222/01","Risk Management Programme","Custom","Sanford Limited","","9429000010856","Registered","2021-06-08","","Ministry for Primary Industries - Verification Services","No","","","","","Hall Street, North Mole","Timaru","Timaru District Council","1","Timaru District Council","N/A","San Granit","Animal Consumption, Animal Consumption (Feeds), Human Consumption","Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Offal, Squid & other cephalopods","Filleting;Gutting;Heading;Washing;Whole, Tailing, Tubing, Whole","Collection, Collection;Drying/reduction of water activity;Refrigeration;Size reduction, Refining, Refrigeration, Rendering, Size reduction",""
"PH223/01","Risk Management Programme","Custom","Westpac Mussels Distributors Limited","","9429040689838","Registered","2022-09-27","","Ministry for Primary Industries - Verification Services","No","","","","","19 Corban Avenue, Henderson","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Kina, Squid & other cephalopods","Filleting, Gutting, Heading, Heat shocking;Live;Shucking, Live, Tubing, Washing, Whole","Acidification, Acidification;Refrigeration;Transport, Refrigerated storage (processes & receives external product), Refrigeration, Thermal processing other than in-container retorting/UHT, Thermal processing other than in-container retorting/UHT;Transport, Transport",""
"PH226/01","Risk Management Programme","Custom","Oxford Deer Products Limited","","9429040041414","Registered","2022-10-27","","Ministry for Primary Industries - Verification Services","No","","","","","197 Harrison Drive","Te Awamutu","Waipa District Council","1","Waipa District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Deer Co-products, Deer Velvet, Fish, Red meat","Drying, Grinding, Slicing","Blending/mixing, Blending/mixing;Boning/cutting;Drying/reduction of water activity;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Blending/mixing;Boning/cutting;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Blending/mixing;Drying/reduction of water activity, Boning/cutting, Drying/reduction of water activity, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Supplement manufacture, Thermal processing other than in-container retorting/UHT",""
"PH23/01","Risk Management Programme","Custom","Silver Fern Farms Limited","","9429041428900","Registered","2018-11-23","","Ministry for Primary Industries - Verification Services","No","","","","","7 Pururu Street","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Farmed Deer, Farmed gone feral deer, Game estate deer, Hides & Skins, Red meat, Wild deer","Dressing, Slaughter","Boning/cutting, Collection, Refrigerated storage (processes & receives external product), Refrigeration",""
"PH233/01","Risk Management Programme","Custom","Heinz Wattie's Limited","","9429039009975","Registered","2023-02-10","","Ministry for Primary Industries - Verification Services","No","","","","","513 King Street","Hastings","Hastings District Council","1","Hastings District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Eggs, Fish, Poultry, Red meat","","Acidification, Formulation, Formulation;In container retorting;Non-refrigerated storage (processes & receives external product), In container retorting, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT, Transport",""
"PH251/01","Risk Management Programme","Custom","Aurora Fisheries Limited","","9429039192646","Registered","2023-08-08","","Ministry for Primary Industries - Verification Services","No","","","","","4 Cross Quay, Port Nelson","Nelson","Nelson City Council","1","Nelson City Council","N/A","Tomi Maru No 87","Human Consumption","Fish, Red offals, Squid & other cephalopods, Surimi","Filleting, Gutting, Heading, Whole","Processing, Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product);Refrigeration;Size reduction, Refrigeration",""
"PH267/01","Risk Management Programme","Custom","Provelco Limited","","9429035763475","Registered","2023-08-25","","Ministry for Primary Industries - Verification Services","No","","","","","26 Sonter Road, Wigram","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Deer Velvet","Drying, Grinding, Slicing","Industrial Use, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product)",""
"PH283/01","Risk Management Programme","Custom","Farout Limited","","9429050406999","Registered","2023-08-02","","Ministry for Primary Industries - Verification Services","No","","","","","12 Michelle Road, Sockburn","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Deer Velvet, Fish, Other animal products, Poultry, Red meat, Sea Cucumber","Drying, Grinding, Gutting, Heading, Slicing, Washing, Washing;Whole, Whole","Boning/cutting, Collection, Drying/reduction of water activity, Drying/reduction of water activity;Thermal processing other than in-container retorting/UHT;Transport, Industrial Use, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Size reduction, Transport",""
"PH289/01","Risk Management Programme","Custom","Chatham Island Food Company Limited","","9429030728486","Registered","2014-07-14","","Ministry for Primary Industries - Verification Services","No","","","","","Owenga Road, Owenga","Chatham Islands","Chatham Islands Council","1","Chatham Islands Council","N/A","N/A","Human Consumption","Crustaceans (including rock lobsters), Fish, Kina, Paua","Filleting, Gutting, Heading, Shucking, Tailing, Washing, Whole","Refrigeration, Transport",""
"PH3/01","Risk Management Programme","Custom","Waitaki Biosciences a division of Pharmazen Limited","","9429036735761","Registered","2023-08-09","","Ministry for Primary Industries - Verification Services","No","","","","","320 Port Hills Road, Hillsborough","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Blood, Deer Co-products, Deer Velvet, Eggs, Fish, Gelatine, Red meat, Wool - fibre","","Blending/mixing, Blending/mixing;Drying/reduction of water activity;Extraction;Formulation;Pharmaceutical/biological processing;Refrigeration;Size reduction;Supplement manufacture;Thermal processing other than in-container retorting/UHT, Blending/mixing;Drying/reduction of water activity;Extraction;Formulation;Pharmaceutical/biological processing;Size reduction;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity, Drying/reduction of water activity;Extraction;Formulation;Pharmaceutical/biological processing;Size reduction;Thermal processing other than in-container retorting/UHT, Extraction, Formulation, Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product);Refrigeration;Transport, Packing/repacking;Thermal processing other than in-container retorting/UHT, Pharmaceutical/biological processing, Refrigeration, Size reduction, Supplement manufacture, Thermal processing other than in-container retorting/UHT",""
"PH30/01","Risk Management Programme","Custom","Progressive Meats Limited","","9429040795713","Registered","2022-03-07","","Ministry for Primary Industries - Verification Services","No","","","","","118 Kelfield Place","Hastings","Hastings District Council","1","Hastings District Council","N/A","N/A","Animal Consumption, Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Collection, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Refrigeration, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"PH306/01","Risk Management Programme","Custom","Mandarin Products (New Zealand) Limited","","9429034189870","Registered","2023-05-05","","Ministry for Primary Industries - Verification Services","No","","","","","121 Carbine Road, Mount Wellington","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Human Consumption","Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Fish, Non-AP, Poultry, Red meat","","Boning/cutting, Collection, Collection;Refrigeration, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration;Salting/curing/brining;Transport, Drying/reduction of water activity;Formulation;Size reduction, Drying/reduction of water activity;Size reduction;Transport, Non-refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"PH31/02","Risk Management Programme","Custom","Ovation New Zealand Limited","","9429000073943","Registered","2020-07-06","","Ministry for Primary Industries - Verification Services","No","","","","","10 Cook Street","Waipukurau","Central Hawkes Bay District Council","1","Central Hawkes Bay District Council","PH31","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Dairy products, Eggs, Fish, Possums, Poultry, Red meat","","Collection, Collection;Refrigeration;Size reduction, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration;Size reduction, Drying/reduction of water activity;Refrigeration, Formulation, Formulation;Refrigerated storage (processes & receives external product), Formulation;Size reduction, Industrial Use, Non-refrigerated storage (processes & receives external product), Packing/repacking;Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"PH326/01","Risk Management Programme","Custom","Pauaco Limited","True South Seafood","9429030546899","Registered","2015-04-02","","Ministry for Primary Industries - Verification Services","No","","","","","482 Woodcocks Road","Warkworth","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Bivalve molluscan shellfish","Live, Shucking, Washing","Refrigeration, Transport",""
"PH328/01","Risk Management Programme","Custom","Nestle New Zealand Limited","","9429000001786","Registered","2021-10-13","","Ministry for Primary Industries - Verification Services","No","","","","","244 Cavendish Drive, Wiri","Auckland","Auckland Council","1","Auckland Council","328","N/A","Human Consumption","Animal products (non-dairy), Dairy products, Eggs, Fish, Milk powders, Poultry, Red meat, Speciality powders","","Blending/mixing, Blending/mixing;Labelling;Non-refrigerated storage (processes & receives external product);Packing/repacking;Size reduction, Blending/mixing;Size reduction, Non-refrigerated storage (processes & receives external product), Size reduction",""
"PH336/01","Risk Management Programme","Custom","Rokland Corporation Limited","","9429039107114","Registered","2018-11-21","","Ministry for Primary Industries - Verification Services","No","","","","","7 Prairie Place, Hornby","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Deer Co-products, Deer Velvet","Drying, Slicing","Collection, Drying/reduction of water activity, Industrial Use, Non-refrigerated storage (stand-alone), Packing/repacking, Refrigerated storage (stand-alone), Transport",""
"PH347/01","Risk Management Programme","Custom","New Zealand Seafoods 2013 Limited","","9429033906232","Registered","2015-06-24","","Ministry for Primary Industries - Verification Services","No","","","","","20B Portage Road, New Lynn","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish","Filleting, Gutting, Heading, Live;Shucking, Washing, Whole","Boning/cutting, Packing/repacking, Refrigerated storage (stand-alone), Refrigeration, Refrigeration;Salting/curing/brining;Transport, Transport",""
"PH35/01","Risk Management Programme","Custom","Aroma (N.Z.) Limited","","9429031947381","Registered","2022-06-07","","Ministry for Primary Industries - Verification Services","No","","","","","12 Senior Place, Bromley","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Velvet, Fish, Non-AP, Red meat","Live, Whole","Acidification, Acidification;Blending/mixing;Drying/reduction of water activity;Extraction;Hydrolysis;Packing/repacking;Refrigeration;Size reduction, Acidification;Blending/mixing;Drying/reduction of water activity;Extraction;Hydrolysis;Packing/repacking;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Acidification;Blending/mixing;Drying/reduction of water activity;Extraction;Packing/repacking;Size reduction;Thermal processing other than in-container retorting/UHT, Blending/mixing, Blending/mixing;Drying/reduction of water activity;Supplement manufacture;Thermal processing other than in-container retorting/UHT;Transport, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Thermal processing other than in-container retorting/UHT, Extraction, Hydrolysis, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT",""
"PH367/01","Risk Management Programme","Custom","Venison Packers Feilding Limited","","9429038765674","Registered","2020-06-18","","Ministry for Primary Industries - Verification Services","No","","","","","Kawakawa Road","Feilding","Manawatu District Council","1","Manawatu District Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Alpacas/llamas, Animal products (non-dairy), Bivalve molluscan shellfish, Cattle, Farmed Deer, Farmed goats, Farmed gone feral cattle, Fish, Game estate deer, Game estate goats, Hides & Skins, Ostriches & emus, Poultry, Red meat, Sheep, Wild cattle, Wild deer, Wild goats","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Boning/cutting;Collection;Refrigeration;Transport, Collection, Collection;Refrigeration, Packing/repacking, Refrigeration, Transport",""
"PH368/01","Risk Management Programme","Custom","Star Fish Supply Limited","","9429037758523","Registered","2002-11-20","","Ministry for Primary Industries - Verification Services","No","","","","","27 Dunlop Road","Napier","Napier City Council","1","Napier City Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Fish, Paua","Filleting, Gutting, Heading, Live, Shucking, Tailing, Washing, Whole","Collection, Collection;Refrigeration;Transport, Refrigeration, Refrigeration;Size reduction;Transport, Size reduction, Transport",""
"PH372/01","Risk Management Programme","Custom","Alpine Deer NZ LP","","9429043267231","Registered","2020-04-07","","Ministry for Primary Industries - Verification Services","No","","","","","642 Pyes Pa Road, RD3","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Fish, Poultry, Red meat","Drying, Grinding, Slicing","Boning/cutting, Boning/cutting;Drying/reduction of water activity;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Drying/reduction of water activity, Drying/reduction of water activity;Refrigeration, Drying/reduction of water activity;Transport, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"PH375/01","Risk Management Programme","Custom","Amoa Seafoods Limited","","9429034528433","Registered","2023-07-06","","Ministry for Primary Industries - Verification Services","No","","","","","6 Pragnell Street","Masterton","Masterton District Council","1","Masterton District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Eggs, Fish, Non-AP, Paua","Filleting, Gutting, Heading, Shucking","Formulation, Formulation;Size reduction, Industrial Use, Packing/repacking, Refrigeration, Transport",""
"PH376/01","Risk Management Programme","Custom","Duncan South Limited","","9429036997831","Registered","2022-10-06","","Ministry for Primary Industries - Verification Services","No","","","","","Puddle Alley","Mosgiel","Dunedin City Council","1","Dunedin City Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Cattle, Deer Co-products, Deer Velvet, Farmed Deer, Hides & Skins, Red meat","Collection, Dressing, Slaughter","Boning/cutting, Collection, Collection;Refrigeration, Non-refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"PH376/02","Risk Management Programme","Custom","Duncan South Limited","","9429036997831","Registered","2022-10-06","","Ministry for Primary Industries - Verification Services","No","","","","","Puddle Alley","Mosgiel","Dunedin City Council","1","Dunedin City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Farmed gone feral deer, Farmed gone feral goats, Game estate deer, Game estate goats, Hides & Skins, Red meat, Wild chamois, Wild deer, Wild goats","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Collection, Refrigeration, Size reduction",""
"PH384/01","Risk Management Programme","Custom","Talley's Group Limited","","9429040188935","Registered","2020-11-18","","Ministry for Primary Industries - Verification Services","No","","","","","Ward Street, Port Motueka","Motueka","Tasman District Council","1","Nelson City Council","N/A","Amaltal Columbia","Animal Consumption (Feeds), Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing, Tubing;Whole, Washing, Whole","Refrigerated storage (processes & receives external product), Refrigeration, Rendering, Size reduction",""
"PH385/01","Risk Management Programme","Custom","Echinoderm (NZ) Limited","","9429035564508","Registered","2022-05-30","","Ministry for Primary Industries - Verification Services","No","","","","","17 Bristol Street, Riverlands","Blenheim","Marlborough District Council","1","Marlborough District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Gastropods (other than paua), Paua, Sea Cucumber","Filleting;Gutting;Whole, Live, Shucking, Washing","Refrigerated storage (processes & receives external product), Refrigeration, Transport",""
"PH389/01","Risk Management Programme","Custom","Ngai Tahu Seafood Products Limited","","9429039473578","Registered","2016-04-28","","Ministry for Primary Industries - Verification Services","No","","","","","Bolt Place, Christchurch International Airport","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Fish, Paua","Live, Shucking, Tailing, Whole","Packing/repacking, Refrigerated storage (processes & receives external product), Transport",""
"PH39/01","Risk Management Programme","Custom","Tasman Velvet Processors Limited","","9429037997823","Registered","2021-11-30","","Ministry for Primary Industries - Verification Services","No","","","","","15 Lismore Street, Phillipstown","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Deer Co-products, Deer Velvet, Possums, Red meat, Wild wallabies","Drying, Grinding, Slicing","Boning/cutting, Boning/cutting;Collection;Drying/reduction of water activity;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Boning/cutting;Drying/reduction of water activity;Packing/repacking;Refrigeration;Size reduction, Collection, Drying/reduction of water activity, Drying/reduction of water activity;Refrigeration;Thermal processing other than in-container retorting/UHT, Industrial Use, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"PH4/01","Risk Management Programme","Custom","Canterbury Seafoods Limited","","9429036339204","Registered","2020-07-31","","Ministry for Primary Industries - Verification Services","No","","","","","40 Tanya Street, Bromley","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Bivalve molluscan shellfish, Farmed fish, Fish, Sea Cucumber, Squid & other cephalopods","Filleting, Gutting, Heading, Live, Tubing, Tubing;Whole, Washing, Whole","Collection, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Transport",""
"PH403/01","Risk Management Programme","Custom","Pauaco Limited","","9429030546899","Registered","2022-09-20","","Ministry for Primary Industries - Verification Services","No","","","","","172 Ruru Road, Bromley","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Farmed paua, Fish, Paua","Live, Live;Shucking;Wet Storage, Shucking, Wet Storage","Collection, Formulation;In container retorting;Refrigeration;Thermal processing other than in-container retorting/UHT;Transport, Packing/repacking;Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"PH406/01","Risk Management Programme","Custom","Parex International Limited","","9429038710414","Registered","2021-11-08","","Ministry for Primary Industries - Verification Services","No","","","","","26 Halwyn Drive, Hornby","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Deer Co-products, Deer Velvet","Drying, Slicing","Blending/mixing, Collection, Drying/reduction of water activity;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Industrial Use, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Transport",""
"PH415/01","Risk Management Programme","Custom","South Pacific 2000 Limited","","9429037353063","Registered","2011-11-15","","Ministry for Primary Industries - Verification Services","No","","","","","126 Park Road, Miramar","Wellington","Wellington City Council","1","Wellington City Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Squid & other cephalopods","Filleting, Gutting, Heading, Live, Tailing, Washing, Whole","Boning/cutting, Industrial Use, Refrigerated storage (stand-alone);Transport, Refrigeration, Transport",""
"PH421/01","Risk Management Programme","Custom","Deep Blue Seafoods New Zealand Limited","","9429035285342","Registered","2021-03-23","","Ministry for Primary Industries - Verification Services","No","","","","","36 Webb Street","Wellington","Wellington City Council","1","Wellington City Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Fish, Kina, Non-AP, Paua, Squid & other cephalopods","Filleting, Gutting, Heading, Live, Live;Shucking, Shucking, Tailing, Washing, Whole","Refrigerated storage (processes & receives external product), Refrigeration;Transport, Retail sale",""
"PH423/01","Risk Management Programme","Custom","Mountain River Processors Limited","","9429039796738","Registered","2020-06-15","","Ministry for Primary Industries - Verification Services","No","","","","","Knyvetts Road, RD 13","Rakaia","Ashburton District Council","1","Ashburton District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Farmed Deer, Foetal tissue, Game estate deer, Hides & Skins, Red meat, Wild deer","Dressing, Slaughter","Boning/cutting, Collection, Refrigeration, Size reduction, Transport",""
"PH435/01","Risk Management Programme","Custom","New Zealand Supreme Natural Foods Limited","","9429038500923","Registered","2023-10-02","","Ministry for Primary Industries - Verification Services","No","","","","","43-51 Hyland Crescent","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Fats/oils, Fish, Non-AP, Red meat","Drying, Grinding, Slicing","Blending/mixing;Formulation;Non-refrigerated storage (processes & receives external product);Supplement manufacture, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration, Drying/reduction of water activity;Refrigeration, Formulation, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Packing/repacking;Refrigerated storage (stand-alone), Packing/repacking, Refrigerated storage (stand-alone), Refrigeration, Size reduction, Supplement manufacture, Thermal processing other than in-container retorting/UHT, Transport",""
"PH444/01","Risk Management Programme","Custom","Pacific Biotech Limited","Silberhorn","9429041611845","Registered","2015-06-10","","Ministry for Primary Industries - Verification Services","No","","","","","299 Dee Street","Invercargill","Invercargill City Council","1","Invercargill City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Fats/oils","","Non-refrigerated storage (processes & receives external product), Packing/repacking",""
"PH448/01","Risk Management Programme","Custom","Sanford Limited","ENZAQ","9429000010856","Registered","2020-07-29","","Ministry for Primary Industries - Verification Services","No","","","","","Bristol Street, Riverlands","Blenheim","Marlborough District Council","1","Marlborough District Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Red meat","Shucking","Drying/reduction of water activity, Drying/reduction of water activity;Transport, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Size reduction, Transport",""
"PH458/01","Risk Management Programme","Custom","Southern Seafoods Limited","","9429040247670","Registered","2023-02-08","","Ministry for Primary Industries - Verification Services","No","","","","","24 Klondyke Drive, Hornby","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption","Bivalve molluscan shellfish, Crustaceans (including rock lobsters), Farmed fish, Farmed paua, Fish, Paua, Sea Cucumber, Squid & other cephalopods","Filleting, Gutting, Heading, Heat shocking, Heat shocking;Live;Shucking, Live, Shucking, Tailing, Tubing;Whole, Washing, Wet Storage, Whole","Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Refrigeration;Thermal processing other than in-container retorting/UHT;Transport, Transport",""
"PH46/01","Risk Management Programme","Custom","Talley's Group Limited","","9429040188935","Registered","2021-01-08","","Ministry for Primary Industries - Verification Services","No","","","","","Ward Street, Port Motueka","Motueka","Tasman District Council","1","Nelson City Council","N/A","Amaltal Explorer","Animal Consumption, Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing, Tubing;Whole, Washing, Whole","Refrigerated storage (processes & receives external product), Refrigeration",""
