"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
544,"CANADIAN BLAST FREEZERS LTD.Also Doing Business As Name:   CANADA FIRST BRANDS","80 CARRYING PLACE ROAD   TRENTON ON K8V 3E6","4-505 IROQUOIS SHORE ROAD   OAKVILLE ON L6H 2R3"," 3x 6x 9B/US 11ADFGHQRSVI 12Y","(613) 394-4122 (613) 394-4184/F",44.08435,-77.583636,1,rooftop,"80 Carrying Place Rd",,"Trenton, ON K8V",80,"Carrying Place Rd",,,Trenton,ON,,K8V,CA,"Quinte West"
545,"SUPERIOR POULTRY PROCESSORS LTD.","2784 ABERDEEN AVENUE   COQUITLAM BC V3B 1A3","   ","1fi 3f 6f 11DGV","(604) 464-0533 (604) 464-3511/I (604) 464-6213/F",49.276407,-122.805613,1,rooftop,"2784 Aberdeen Ave",,"Coquitlam, BC V3B",2784,"Aberdeen Ave",,,Coquitlam,BC,,V3B,CA,"City of Coquitlam (City of Coquitlam Open Government License - Coquitlam 1.0)"
546,"SP�CIALIT�S M.B. INC.Also Doing Business As Name:   LA FOURCHETTE : YU'SKEWS : OLIVE & CUCINA : LA FONDUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     : LES SP�CIALIT� DU CONNAISSEUR : VIANDE SURFINES","5450; AVENUE TRUDEAU   ST-HYACINTHE QC J2S 7Y8","   "," 6fx 11DA","(450) 771-1415 (450) 771-1417/F",45.63459,-72.974808,0.9,rooftop,"5450 Trudeau Ave",,"Saint-Hyacinthe, QC J2S",5450,"Trudeau Ave",,,Saint-Hyacinthe,QC,,J2S,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
548,"CONAGRA FOODS CANADA INC./ALIMENTS CONAGRA CANADA INC.Also Doing Business As Name:   V-H FOODS / ALIMENTS V-H","570 BOUL. DU CURE-BOIVIN   BOISBRIAND QC J7G 2A7","   "," 6fx 11ADK","(450) 433-1322 (450) 433-6422/F",45.621519,-73.829204,1,rooftop,"570 Du Curé-boivin Blvd",,"Boisbriand, QC J7G",570,"Du Curé-boivin Blvd",,,Boisbriand,QC,,J7G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
550,"GOLDEN VALLEY FARMS INC.","50 WELLS STREET   ARTHUR ON N0G 1A0","P.O. BOX 670   ARTHUR ON N0G 1A0"," 6fx 11AD","(519) 848-3110 (519) 848-3470/F",44.154596,-81.27833,0.86,nearest_rooftop_match,"8 Willi St",,"Chepstow, ON N0G",8,"Willi St",,,Chepstow,ON,,N0G,CA,"Bruce (BGDISC Open Data Licence Contains information licensed under the BGDISC Open Data Licence.)"
552,"SUMMER FRESH SALADS INCORPORATED","181 SHARER ROAD   VAUGHAN ON L4L 8Z3","   "," 6fx 11D","(905) 856-8816 (905) 856-9298/F",43.781838,-79.560722,1,rooftop,"181 Sharer Rd",,"Woodbridge, ON L4L",181,"Sharer Rd",,,Woodbridge,ON,,L4L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
553,"TO-LE-DO FOODSERVICE LTD.Also Doing Business As Name:   TO-LE-DO FOODSERVICE","143 HENRY AVENUE   WINNIPEG MB R3B 3G9","2430 MCGILLIVRAY BLVD.   WINNIPEG MB R3Y 1G6"," 3x 6x","(204) 956-4177 (204) 957-1728/F",49.903069,-97.132197,1,rooftop,"143 Henry Ave",,"Winnipeg, MB R3B",143,"Henry Ave",,,Winnipeg,MB,,R3B,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
554,"ALIMENTS DESAUTELS FOODS INC.","20731 CONCESSION 5   GREEN VALLEY ON K0C 1L0","R.R. 2   GREEN VALLEY ON K0C 1L0"," 3fx 6fx","(613) 347-3104 (613) 347-1076/F",45.231729,-74.534445,1,range_interpolation,"20731 Concession 5th Rd",,"Williamstown, ON K0C",20731,"Concession 5th Rd",,,Williamstown,ON,,K0C,CA,"Address Ranges"
557A,"CATELLI FOODS CORPORATION/CORPORATION D'ALIMENTS CATELLIAlso Doing Business As Name:   OLIVIERI A DIVISION OF CATELLI FOODS CORPORATION; OLIVIERI UNE DIVISION DE CORPORATION D'ALIMENTS CATELLI","80 BROCKLEY DRIVE   HAMILTON ON L8E 3C5","   "," 6fx 11D","(905) 560-6200 (905) 560-6949/F",43.236807,-79.744849,1,rooftop,"80 Brockley Dr",,"Hamilton, ON L8E",80,"Brockley Dr",,,Hamilton,ON,,L8E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
558,"7687567 CANADA INC.Also Doing Business As Name:   ALIMENTS LUCKY 8","670 RUE ST-ROMUALD   LEVIS QC G6W 5M6","   "," 6fx","(418) 834-7778 (418) 839-1540/F",46.824934,-71.149427,1,place,,,"Levis, QC G6V",,,,,Levis,QC,,G6V,CA,"CanVec+ by Natural Resources Canada"
562,"DE BOER'S POULTRY LTD.Also Doing Business As Name:   HOLIMA FOODS","4485 HARVESTER ROAD   BURLINGTON ON L7L 4X3","   "," 3f 6f","(905) 632-7674 (905) 632-7678/F",43.376507,-79.769408,1,rooftop,"4485 Harvester Rd",,"Burlington, ON L7L",4485,"Harvester Rd",,,Burlington,ON,,L7L,CA,"City of Burlington (Datasets are publicly available from the City under these Terms of Use)"
564,"WINDSOR MARKETING ASSOCIATES LTD.Also Doing Business As Name:   JUSTA BESTA FOOD","157 STRONACH CRESCENT   LONDON ON N5V 3G5","   "," 6fx 11AD","(519) 659-3178 (519) 659-3193/F",43.023382,-81.186961,1,rooftop,"157 Stronach Cres",,"London, ON N5V",157,"Stronach Cres",,,London,ON,,N5V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
565,"NALEWAY FOODS LTD.","233 HUTCHINGS STREET   WINNIPEG MB R2X 2R4","   "," 6x","(204) 633-6535 (204) 694-4310/F Ext. 31/I",49.943004,-97.180042,1,rooftop,"233 Hutchings St",,"Winnipeg, MB R2X",233,"Hutchings St",,,Winnipeg,MB,,R2X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
566,"MACGREGORS MEAT & SEAFOOD LTD.Also Doing Business As Name:   MACGREGOR FOODS : NORTH COUNTRY COOKHOUSE : STEAKHOUSE CHOICE : 44th STREET","60 HANLAN ROAD   VAUGHAN ON L4L 3P6","265 GARYRAY DRIVE   TORONTO ON M9L 1P2"," 3x 6fx 11D","(905) 851-6328 (905) 856-0541/F",43.769281,-79.563943,1,rooftop,"60 Hanlan Rd",,"Woodbridge, ON L4L",60,"Hanlan Rd",,,Woodbridge,ON,,L4L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
571,"MOUNTAIN TOP FOODS LTD.","2220-19TH AVENUE   NANTON AB T0L 1R0","BOX 58   NANTON AB T0L 1R0"," 6fx","(403) 646-0038 (403) 646-2283/F",50.347091,-113.767263,1,rooftop,"2220 19th Ave",,"Parkland, AB T0L",2220,"19th Ave",,,Parkland,AB,,T0L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
572,"CHARCUTERIE L. FORTIN LIMIT�EAlso Doing Business As Name:   PRODUITS L.F. : PHILIPS MEAT : VIANDES PHILIPS : PHILIPS FOODS : ALIMENTS PHILIPS","849; AVENUE BOMBARDIER   ALMA QC G8B 6H2","5371; AVENUE DU PONT NORD   ALMA QC G8E 1T7"," 3x 6x 11AD","(418) 347-3365 (418) 347-4638/F",48.568246,-71.645109,0.9,rooftop,"849 Bombardier Ave",,"Alma, QC G8B",849,"Bombardier Ave",,,Alma,QC,,G8B,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
573,"VANTAGE FOODS (MB) INC.","41 PAQUIN ROAD   WINNIPEG MB R2J 3V9","   "," 3fx 6fx 11SD","(204) 667-9903 (204) 667-5605/F",49.881389,-97.043003,1,rooftop,"41 Paquin Rd",,"Winnipeg, MB R2J",41,"Paquin Rd",,,Winnipeg,MB,,R2J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
577,"LEAVOY ROWE BEEF CO. LTD.*","2576 WHARTON GLEN AVENUE   MISSISSAUGA ON L4X 2A9","   "," 3fx 6fx 11DFL","(905) 272-2330 (905) 272-7161/F",43.618565,-79.571456,0.91,nearest_rooftop_match,"2580 Wharton Glen Ave",,"Mississauga, ON L4X",2580,"Wharton Glen Ave",,,Mississauga,ON,,L4X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
578,"GRAND RIVER FOODS LTD.Also Doing Business As Name:   DC FOODS (Division of Sunwest Food Processors Ltd.)","35 NORTHLAND ROAD   WATERLOO ON N2V 1Y8","35 NORTHLAND ROAD   WATERLOO ON N2U 1Y8"," 6f 11D","(519) 747-5546 (519) 886-8656/F",43.505856,-80.53432,1,rooftop,"35 Northland Rd",,"Waterloo, ON N2V",35,"Northland Rd",,,Waterloo,ON,,N2V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
581,"9136-4802 QUEBEC INC.Also Doing Business As Name:   D�LICES AL-MANAR","100; RUE DUMONT   EAST ANGUS QC J0B 1R0","   "," 6fx 11D","(819) 832-4777 (819) 832-3048/F",45.479923,-71.676456,1,rooftop,"100 Rue Dumont",,"East Angus, QC J0B",100,"Rue Dumont",,,"East Angus",QC,,J0B,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
587,"KML MEAT PROCESSORS LTD.","6478 KAMLOOPS-VERNON HWY.   WESTWOLD BC V0E 3B1","   ","1a;h 3x 11LS","(250) 375-2388 (250) 375-2378/F",50.462437,-119.682745,1,range_interpolation,"6478 Kamloops-Vernon Hwy",,"Westwold, BC V0E",6478,"Kamloops-Vernon Hwy",,,Westwold,BC,,V0E,CA,"Address Ranges"
589,"THE MEAT FACTORY LIMITEDAlso Doing Business As Name:   PEAMEAL BACON OF CANADA : LOU'S BARBEQUE : FIVE STAR CANADIAN BEEF","46 COMMUNITY AVENUE   STONEY CREEK ON L8E 2Y3","   "," 3x 6fx 11AD","(905) 664-2126 (905) 662-2284/F",43.238181,-79.73325,1,rooftop,"46 Community Ave",,"Stoney Creek, ON L8E",46,"Community Ave",,,"Stoney Creek",ON,,L8E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
590,"DUSO'S ENTERPRISES LTD.","#200 - 1625 KEBET WAY   PORT COQUITLAM BC V3C 5W9","   "," 6fx 11D","(604) 464-8101 (604) 464-8220/F",49.238195,-122.761996,0.85,rooftop,"1625 Kebet Way",,"Port Coquitlam, BC V3C",1625,"Kebet Way",,,"Port Coquitlam",BC,,V3C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
591,"SUNRISE POULTRY PROCESSORS LTD.","3863 - 6TH AVENUE NORTH   LETHBRIDGE AB T1H 5C2","   ","1f 3f 6f 11DV","(403) 380-4639 (403) 380-4735/F (403) 382-4908/I",49.70954,-112.785179,1,rooftop,"3863 6th Ave N",,"Lethbridge, AB T1H",3863,"6th Ave N",,,Lethbridge,AB,,T1H,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
595,"LES ALIMENTS MASONE PASTA INC./MASONE PASTA FOODS INC.","8495; RUE DU CREUSOT   SAINT-L�ONARD QC H1P 2A2","   "," 6fx 11DA","(514) 323-4111 (514) 323-0413/F (514) 323-4111/I",45.600349,-73.587086,1,rooftop,"8495 Rue Du Creusot",,"Saint-Leonard, QC H1P",8495,"Rue Du Creusot",,,Saint-Leonard,QC,,H1P,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
596,"UNION POULTRY CANADA INC.","70 DENISON ST.; UNIT #2   MARKHAM ON L3R 1B6","   "," 3fx 6fx 9B/US 11D","(905) 305-1913 (905) 305-1514/F Ext. 243/I",43.821493,-79.356793,1,rooftop,"70 Denison St","Unit 2","Markham, ON L3R",70,"Denison St",Unit,2,Markham,ON,,L3R,CA,"City of Markham (York Region Open Data Licence Contains public sector information made available under The Regional Municipality of York's Open Data Licence)"
598,"BAVARIAN LINK MEAT PRODUCTS LIMITED","699 WALLACE ROAD   NORTH BAY ON P1B 8G4","   "," 6fx","(705)-495-3334 (705)-476-7596/F",46.315498,-79.423943,0.99,range_interpolation,"699 Wallace Rd",,"North Bay, ON P1A",699,"Wallace Rd",,,"North Bay",ON,,P1A,CA,"Address Ranges"
599,"K & R POULTRY LTD.Also Doing Business As Name:   FARMFED","31171 PEARDONVILLE RD.   ABBOTSFORD BC V2T 6K6","   ","1fhi 3f 11D","(604) 850-5808 (604) 850-5838/F (604) 850-9231/I",49.045983,-122.360508,1,rooftop,"31171 Peardonville Rd",,"Abbotsford, BC V2T",31171,"Peardonville Rd",,,Abbotsford,BC,,V2T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
600,"TIFFANY GATE FOODS INC.Also Doing Business As Name:   TIFFANY GATE FOODS : THYME AND TRUFFLES","195 STEINWAY BLVD.   TORONTO ON M9W 6H6","   "," 6fx 11D","(416) 213-9720 (416) 213-9790/F",43.748611,-79.627706,1,rooftop,"195 Steinway Blvd",,"Etobicoke, ON M9W",195,"Steinway Blvd",,,Etobicoke,ON,,M9W,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
601,"BUNGE CANADA HOLDINGS 1 ULCAlso Doing Business As Name:   BUNGE CANADA","2190 SOUTH SERVICE ROAD WEST   OAKVILLE ON L6L 5N1","   "," 7Y 11DF","(905) 825-7900 (905) 847-1336/F",43.418641,-79.730067,1,rooftop,"2190 S Service Rd W",,"Oakville, ON L6L",2190,"S Service Rd W",,,Oakville,ON,,L6L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
602,"710769 ALBERTA LTD.Also Doing Business As Name:   ROYAL FOOD PRODUCTS; MEYERS MIGHTY FINE FOOD COMPANY","12525 - 89 STREET   EDMONTON AB T5B 3X2","   "," 6fx 11D","(780) 474-2313 (780) 471-3910/F",53.582265,-113.477412,1,place,,,"Edmonton, AB T5B",,,,,Edmonton,AB,,T5B,CA,"CanVec+ by Natural Resources Canada"
604,"TROCHU MEAT PROCESSORS LTD.Also Doing Business As Name:   SUNTERRA MEAT : TROVAL MEATS","233 NORTH ROAD   TROCHU AB T0M 2C0","BOX 309   TROCHU AB T0M 2C0","1d 3x 6x 11ADFQSI","(403) 442-4202 (403) 442-2771/F",51.386799,-113.537036,1,range_interpolation,"233 North Rd",,"Beiseker, AB T0M",233,"North Rd",,,Beiseker,AB,,T0M,CA,"Address Ranges"
605,"E-FISH-ENT FISH COMPANY LTD.","1941 GOODRIDGE ROAD   SOOKE BC V9Z 0C6","   "," 2fx 6xf","(250) 642-4007 (250) 642-4057/F",48.390217,-123.663317,1,rooftop,"1941 Goodridge Rd",,"Sooke, BC V9Z",1941,"Goodridge Rd",,,Sooke,BC,,V9Z,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
606,"LES PLATS DU CHEF ULC.Also Doing Business As Name:   CUISINE ADVENTURES; PLATS DU CHEF; JONATHAN T","575 OSTER LANE   VAUGHAN ON L4K 2B9","   "," 6fx 11AD","(905) 669-0700 (905) 669-9829/F",43.805892,-79.493759,1,rooftop,"575 Oster Ln",,"Concord, ON L4K",575,"Oster Ln",,,Concord,ON,,L4K,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
609,"MEATY MEATS INC.","896 LAKESHORE ROAD   MISSISSAUGA ON L5E 1E1","   "," 3fx 6fx 11D","(905) 278-7999 (905) 278-0009/F",43.574697,-79.560932,0.89,nearest_rooftop_match,"910 Lake Shore Rd E",,"Mississauga, ON L5E",910,"Lake Shore Rd E",,,Mississauga,ON,,L5E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
613,"1749348 ONTARIO INC.Also Doing Business As Name:   TILLSONBURG CUSTOM FOODS","20 VANCE DR.   TILLSONBURG ON N4G 4W9","   "," 3f 6fx 9B/US","(519) 688-9670 (519) 688-1104/F",42.877321,-80.74322,1,rooftop,"20 Vance Dr",,"Tillsonburg, ON N4G",20,"Vance Dr",,,Tillsonburg,ON,,N4G,CA,Oxford
615,"GINGER BEEF CHOICE LTD.","5521 - 3RD STREET S.E.   CALGARY AB T2H 1K1","   "," 3fx 6fx","(403) 272-8088 (403) 235-0688/F",51.004745,-114.057228,1,rooftop,"5521 3rd St SE",,"Calgary, AB T2H",5521,"3rd St SE",,,Calgary,AB,,T2H,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
616,"OSI SELECT READY FOODS INC.Also Doing Business As Name:   SELECT READY FOODS","8715 - 126 AVENUE NW   EDMONTON AB T5B 1G8","8715-126 AVENUE NW   EDMONTON AB T5B 1G8"," 3x 6fx","(780) 479-1742/T (587) 490-0049/F",53.582463,-113.472277,1,place,,,"Edmonton, AB T5B",,,,,Edmonton,AB,,T5B,CA,"CanVec+ by Natural Resources Canada"
618,"MONTCALM MEATS INC./LES VIANDES MONTCALM INC.Also Doing Business As Name:   LES VIANDES INTERCITE TM","7755 RUE GRENACHE   ANJOU QC H1J 1C4","   "," 3x 6x","(514) 327-1310 (514) 328-8050/F",45.61109,-73.574171,1,rooftop,"7755 Rue Grenache",,"Anjou, QC H1J",7755,"Rue Grenache",,,Anjou,QC,,H1J,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
620,"MAPLE LEAF FOODS INC. / LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PR�PAR�ES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PR�PAR�ES VANCOUVER FANCY","440 GLOVER ROAD   HANNON ON L0R 1P0","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 6fx 11D","(905) 692-8050 (905) 692-3281/F",43.172531,-79.832698,1,rooftop,"440 Glover Rd",,"Hannon, ON L0R",440,"Glover Rd",,,Hannon,ON,,L0R,CA,"City of Hamilton (Open Data Licence Terms and Conditions Contains public sector Data made available under the City of Hamilton’s Open Data Licence)"
623,"9132-7809 QU�BEC INC.Also Doing Business As Name:   SALAISON PROVENCHER","731; RUE MERRILL   COATICOOK QC J1A 2S2","   "," 6fx","(819) 849-0567 (819) 849-7369/F",45.112511,-71.806508,1,rooftop,"731 Rue Merrill",,"Coaticook, QC J1A",731,"Rue Merrill",,,Coaticook,QC,,J1A,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
624,"SKILCOR FOOD PRODUCTS LTD.","175 NUGGETT COURT   BRAMPTON ON L6T 5H4","   "," 6fx 11D","(905) 501-0111 (905) 501-1126/F",43.723768,-79.689392,1,rooftop,"175 Nuggett Ct",,"Brampton, ON L6T",175,"Nuggett Ct",,,Brampton,ON,,L6T,CA,"City of Brampton (City of Brampton CC-BY 4.0)"
625,"LEAVOY ROWE BEEF CO. LTD.","3066 JARROW AVENUE   MISSISSAUGA ON L4X 2C7","   "," 3fx 6fx 11D","(905) 272-2330 (905) 272-7161/F",43.614461,-79.582077,0.89,nearest_rooftop_match,"3078 Jarrow Ave",,"Mississauga, ON L4X",3078,"Jarrow Ave",,,Mississauga,ON,,L4X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
626,"PIXTAR CANADA INC.*","11106 WINSTON CHURCHILL BLVD.   GEORGETOWN ON L7G 4S7","   "," 3f 11D","(905) 877-0303 (905) 877-0390/F",43.669857,-79.882067,1,rooftop,"11106 Winston Churchill Blvd",,"Brampton, ON L7G",11106,"Winston Churchill Blvd",,,Brampton,ON,,L7G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
627,"9395-8098 QUEBEC INC.Also Doing Business As Name:   DISTRIBUTION VIANDES D�CARIE; VIANDES D�CARIE","9595; BOUL. M�TROPOLITAIN E   ANJOU QC H1J 3C1","   "," 3fx 6fx 9B/US 11ADFV","(514) 744-6641 (514) 744-6330/F",45.623183,-73.551562,1,rooftop,"9595 Boul Métropolitain E",,"Anjou, QC H1J",9595,"Boul Métropolitain E",,,Anjou,QC,,H1J,CA,Montreal
628,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PR�PAR�ES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PR�PAR�ES VANCOUVER FANCY","65 REAGENS INDUSTRIAL PARKWAY   BRADFORD ON L3Z 2A4","P.O. BOX #1329   BRADFORD ON L3Z 2B7"," 3fgx 6fgx 9B 11D 12Y","(905) 939-2962 (905) 939-8423/F",44.113129,-79.596809,1,rooftop,"65 Reagens Industrial Pkwy",,"Bradford, ON L3Z",65,"Reagens Industrial Pkwy",,,Bradford,ON,,L3Z,CA,Simcoe
629,"PRAIRIE PRIDE NATURAL FOODS LTD.","3535 MILLAR AVENUE   SASKATOON SK S7P 0A2","   ","1fi 3f 6f 11D","(306) 653-1810 (306) 653-1811/F",52.190505,-106.646895,1,rooftop,"3535 Millar Ave",,"Saskatoon, SK S7P",3535,"Millar Ave",,,Saskatoon,SK,,S7P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
631,"ALPHA MEAT PACKERS LTD./SALAISON ALPHA LTEE","10800; BOULEVARD DU GOLF   ANJOU QC H1J 2Y7","   "," 3fx 6fx 11D","(514) 593-8430 (514) 593-9285/F",45.625086,-73.574091,1,rooftop,"10800 Boul Du Golf",,"Anjou, QC H1J",10800,"Boul Du Golf",,,Anjou,QC,,H1J,CA,Montreal
632,"PINTY'S DELICIOUS FOODS INC.","20 SCOTT AVE.   PARIS ON N3L 3R1","5063 NORTH SERVICE ROAD   BURLINGTON ON L7L 5H6"," 6fx 11D","(519) 442-7448 (519) 442-5342/F",43.212871,-80.391856,1,rooftop,"20 Scott Ave",,"Paris, ON N3L",20,"Scott Ave",,,Paris,ON,,N3L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
633,"SABATINI U. GOURMET FOODS LIMITED","312 DOLOMITE DRIVE UNITS 919-931 ALNESS STREET  TORONTO ON M3J 2N2","925 ALNESS ST.   TORONTO ON M3J 2J1"," 6fx 11D","(416) 661-6064 (416) 661-6149/F",43.780259,-79.475487,1,rooftop,"312 Dolomite Dr",919-931,"North York, ON M3J",312,"Dolomite Dr",,919-931,"North York",ON,,M3J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
634,"FERME DES VOLTIGEURS INC.","2350; BOULEVARD FOUCAULT   DRUMMONDVILLE QC J2E 0E8","   ","1fi 3f 6f 11D","(819) 478-7495 (819) 478-9249/F",45.922071,-72.485492,1,rooftop,"2350 Boul Foucault",,"Drummondville, QC J2E",2350,"Boul Foucault",,,Drummondville,QC,,J2E,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
636,"TNT FOODS INTERNATIONAL INC.Also Doing Business As Name:   TNT FOODS","20 WESTWYN COURT   BRAMPTON ON L6T 4T5"," UNIT  "," 3f 6f 11D","(905) 672-1787 (905) 612-8555/F",43.685322,-79.693891,1,rooftop,"20 Westwyn Ct",,"Brampton, ON L6T",20,"Westwyn Ct",,,Brampton,ON,,L6T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
637,"LEADBETTER FOODS INC.","4 BRAMMER DRIVE   ORILLIA ON L3V 7T4","255 HUGHES ROAD   ORILLIA ON L3V 2M2"," 3fx 6fx 11D","(705) 325-9922 (705) 325-9982/F",44.638187,-79.420239,1,rooftop,"4 Brammer Dr",,"Orillia, ON L3V",4,"Brammer Dr",,,Orillia,ON,,L3V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
